OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
361,31065,No,Heart of Georgia Altamaha,3621,ZCTA,ZCTA5 31065,791,258,24,48,3,5.9,60,41,7.6,4.6,539,220,68.1,16.6,48,27,6.1,2.8,73,38,9.2,3.7,34,20,4.3,2.1,13,35,1.6,4.4,84,63,10.6,7.2,707,228,89.4,41,47,40,5.9,4.7,,,,,0.848578952473891,0.0161924269428126
362,31066,No,Middle Georgia,3622,ZCTA,ZCTA5 31066,1002,200,44,45,4.4,4.4,144,68,14.4,6.1,331,110,33,8.7,263,93,26.2,7.6,40,37,4,3.6,87,56,8.7,5.3,93,66,9.3,6.4,188,81,18.8,7.2,814,172,81.2,5.7,180,87,18,7.9,,,,,0.854062861895961,0.0169994121307436
363,31067,No,Central Savannah River Area,3623,ZCTA,ZCTA5 31067,192,83,16,26,8.3,13.1,31,26,16.1,11.6,100,36,52.1,29.3,31,23,16.1,10,0,18,0,9.6,14,19,7.3,9.4,0,32,0,16.6,47,37,24.5,16,145,60,75.5,45.1,14,37,7.3,19.1,,,,,0.202170226088268,0.000867161750677093
364,31068,No,River Valley,3624,ZCTA,ZCTA5 31068,3944,319,325,100,8.2,2.5,918,166,23.3,3.8,1380,239,35,5.3,933,203,23.7,4.8,108,62,2.7,1.5,160,64,4.1,1.6,120,75,3,1.9,1243,194,31.5,4.2,2701,334,68.5,6.4,280,98,7.1,2.4,,,,,1.31937469618468,0.0227543664551085
365,31069,No,Middle Georgia,3625,ZCTA,ZCTA5 31069,13075,719,398,140,3,1.1,778,196,6,1.5,4484,562,34.3,3.9,3234,464,24.7,3.3,1204,252,9.2,1.9,1894,295,14.5,2.1,1083,229,8.3,1.7,1176,241,9,1.8,11899,857,91,4.2,2977,374,22.8,2.6,,,,,1.02474498351362,0.0241829962344698
366,31070,No,River Valley,3626,ZCTA,ZCTA5 31070,603,149,53,57,8.8,9.1,71,43,11.8,6.6,212,65,35.2,6.3,115,52,19.1,7.2,39,26,6.5,4,59,37,9.8,5.6,54,42,9,6.6,124,71,20.6,10.7,479,103,79.4,26.1,113,56,18.7,8.1,,,,,0.823716950472889,0.0127871393154788
367,31071,No,HOGA / MG,3627,ZCTA,ZCTA5 31071,770,138,83,43,10.8,5.2,99,56,12.9,6.9,312,72,40.5,5.8,161,56,20.9,6.3,41,25,5.3,3.1,39,25,5.1,3.2,35,28,4.5,3.5,182,70,23.6,8.1,588,101,76.4,19,74,37,9.6,4.5,,,,,1.06361398870695,0.0137269414582204
368,31072,No,HOGA / RV,3628,ZCTA,ZCTA5 31072,975,141,63,45,6.5,4.5,141,73,14.5,7.1,443,86,45.4,5.9,137,53,14.1,5.1,70,43,7.2,4.2,53,31,5.4,3.1,68,42,7,4.2,204,85,20.9,8.2,771,122,79.1,5,121,53,12.4,5.1,,,,,0.906326319981006,0.018802830603541
369,31075,No,Heart of Georgia Altamaha,3629,ZCTA,ZCTA5 31075,1809,248,60,57,3.3,3.1,236,112,13,5.9,880,156,48.6,5.5,280,83,15.5,4.1,123,56,6.8,2.9,134,65,7.4,3.5,96,60,5.3,3.2,296,125,16.4,6.6,1513,206,83.6,16.1,230,89,12.7,4.6,,,,,0.93524587964036,0.013663424854564
370,31076,No,River Valley,3630,ZCTA,ZCTA5 31076,2254,236,213,81,9.4,3.5,332,89,14.7,3.6,758,166,33.6,6.5,517,126,22.9,5,119,55,5.3,2.4,216,71,9.6,3,99,42,4.4,1.8,545,120,24.2,4.7,1709,231,75.8,6.5,315,82,14,3.4,,,,,1.4467431752929,0.0302901138165184
371,30228,Yes,ARC / TR,3279,ZCTA,ZCTA5 30228,25633,1321,702,223,2.7,0.9,1576,364,6.1,1.4,8019,730,31.3,2.3,6071,644,23.7,2.2,2561,450,10,1.7,4180,587,16.3,2.1,2524,456,9.8,1.7,2278,427,8.9,1.6,23355,1305,91.1,2,6704,743,26.2,2.6,,,,,1.03619001684096,0.0192164659532758
372,31077,No,Heart of Georgia Altamaha,3631,ZCTA,ZCTA5 31077,1070,192,51,34,4.8,3,103,51,9.6,4.4,538,146,50.3,10.2,142,53,13.3,4.3,100,48,9.3,4.2,57,45,5.3,4.1,79,40,7.4,3.5,154,61,14.4,5.1,916,173,85.6,5.2,136,60,12.7,5.2,,,,,1.41052058148297,0.0239689964962814
373,30230,Partial,Three Rivers,3280,ZCTA,ZCTA5 30230,6210,496,455,157,7.3,2.5,716,180,11.5,2.8,2484,317,40,4,1311,244,21.1,3.6,545,162,8.8,2.5,488,152,7.9,2.4,211,75,3.4,1.2,1171,239,18.9,3.5,5039,464,81.1,3.7,699,169,11.3,2.6,,,,,1.62648511655918,0.0332969634058825
374,31078,No,Middle Georgia,3632,ZCTA,ZCTA5 31078,2119,269,127,67,6,3.1,237,80,11.2,3.5,741,152,35,5.7,638,182,30.1,7.7,123,59,5.8,2.7,100,50,4.7,2.3,153,93,7.2,4.3,364,104,17.2,4.4,1755,266,82.8,6.9,253,105,11.9,4.7,,,,,0.938082701989628,0.0264447761895049
375,30233,Partial,ARC / MG / TR,3281,ZCTA,ZCTA5 30233,16358,681,960,238,5.9,1.4,2735,434,16.7,2.6,6852,590,41.9,3.2,3031,414,18.5,2.4,979,233,6,1.4,1220,223,7.5,1.3,581,197,3.6,1.2,3695,495,22.6,2.9,12663,814,77.4,3.8,1801,298,11,1.8,,,,,1.65913119153455,0.0401094920277535
376,31079,No,HOGA / SG,3633,ZCTA,ZCTA5 31079,1437,169,63,36,4.4,2.4,140,54,9.7,3.6,697,127,48.5,6.8,215,70,15,4.5,114,53,7.9,3.6,96,45,6.7,3,112,50,7.8,3.4,203,65,14.1,4.2,1234,169,85.9,6,208,67,14.5,4.4,,,,,1.66275151332237,0.0278811826994966
377,30448,No,Heart of Georgia Altamaha,3383,ZCTA,ZCTA5 30448,30,23,5,35,16.7,117,1,35,3.3,115.4,7,9,23.3,22.2,12,23,40,71.6,0,18,0,61.3,0,18,0,61.3,5,27,16.7,87.9,6,49,20,164.1,24,45,80,136.1,5,32,16.7,107.2,,,,,0.159049281443651,0.000723346863268201
378,30234,Partial,ARC / TR,3282,ZCTA,ZCTA5 30234,1148,243,38,44,3.3,3.8,165,77,14.4,5.9,594,152,51.7,7.5,161,81,14,6.4,76,53,6.6,4.4,78,52,6.8,4.3,36,35,3.1,3,203,88,17.7,6.7,945,191,82.3,24.1,114,62,9.9,5,,,,,0.419242089940481,0.00296491692862051
379,31081,No,River Valley,3634,ZCTA,ZCTA5 31081,53,47,0,37,0,69.4,0,37,0,69.4,14,27,26.4,45.9,0,26,0,49.1,39,41,73.6,41.9,0,18,0,34.7,0,32,0,60.1,0,52,0,98.1,53,67,100,89.6,0,37,0,69.4,,,,,0.74382417730944,0.00880815289953733
380,30449,No,Coastal Regional Commission,3384,ZCTA,ZCTA5 30449,109,47,3,35,2.8,31.9,16,29,14.7,25.4,55,29,50.5,14.7,17,23,15.6,20.3,14,21,12.8,18.7,4,15,3.7,13.5,0,32,0,29.2,19,45,17.4,40.6,90,55,82.6,36,4,35,3.7,32.2,,,,,0.356378498285274,0.00191998301645056
381,30236,Yes,Atlanta Regional Commission,3283,ZCTA,ZCTA5 30236,29440,1157,1605,345,5.5,1.2,2583,424,8.8,1.4,9899,683,33.6,1.9,6916,623,23.5,1.9,2080,331,7.1,1.1,4037,538,13.7,1.7,2320,381,7.9,1.3,4188,547,14.2,1.8,25252,1182,85.8,2.2,6357,659,21.6,2.1,,,,,0.840798392309841,0.0085035269905351
382,31082,No,CSRA / MG,3635,ZCTA,ZCTA5 31082,6612,299,403,126,6.1,1.9,690,162,10.4,2.4,2806,305,42.4,4.2,1139,209,17.2,3.1,407,114,6.2,1.7,763,165,11.5,2.4,404,105,6.1,1.6,1093,205,16.5,3,5519,433,83.5,5.4,1167,195,17.6,2.8,,,,,1.97918698541726,0.0567717017687095
383,30450,No,Coastal Regional Commission,3385,ZCTA,ZCTA5 30450,1550,273,145,82,9.4,5,206,68,13.3,3.7,630,149,40.6,6.4,294,105,19,5.9,84,52,5.4,3.2,146,84,9.4,5.1,45,34,2.9,2.1,351,107,22.6,5.6,1199,210,77.4,19.2,191,91,12.3,5.4,,,,,0.875093398028347,0.0126266955955769
384,31083,No,Heart of Georgia Altamaha,3636,ZCTA,ZCTA5 31083,255,83,5,33,2,12.8,31,33,12.2,12.5,182,61,71.4,6.2,25,27,9.8,9.9,7,15,2.7,5.7,2,13,0.8,5.2,3,30,1.2,11.6,36,47,14.1,17.8,219,76,85.9,10,5,33,2,12.7,,,,,0.155783552243509,0.000513027993849864
385,30451,No,Heart of Georgia Altamaha,3386,ZCTA,ZCTA5 30451,30,20,0,37,0,122.6,0,37,0,122.6,15,13,50,25.2,5,19,16.7,63.3,0,18,0,61.3,2,14,6.7,45.1,8,31,26.7,103.3,0,52,0,173.3,30,45,100,135,10,34,33.3,112,,,,,0.0311020861276912,1.88353902020022e-05
386,30452,No,Coastal Regional Commission,3387,ZCTA,ZCTA5 30452,810,141,28,33,3.5,4,71,42,8.8,4.9,260,79,32.1,8,157,56,19.4,6,80,39,9.9,4.5,111,35,13.7,3.7,103,48,12.7,5.5,99,53,12.2,6.2,711,120,87.8,21.3,214,60,26.4,5.8,,,,,0.680157155352729,0.0139141294267324
387,30453,No,Heart of Georgia Altamaha,3388,ZCTA,ZCTA5 30453,7504,392,639,140,8.5,1.8,1653,222,22,2.7,3206,328,42.7,3.8,1112,190,14.8,2.4,358,127,4.8,1.7,252,81,3.4,1.1,284,105,3.8,1.4,2292,263,30.5,3.1,5212,421,69.5,4.3,536,132,7.1,1.7,,,,,1.41918561907528,0.031128431935075
388,30454,No,Heart of Georgia Altamaha,3389,ZCTA,ZCTA5 30454,668,262,53,72,7.9,10.4,123,117,18.4,16,305,150,45.7,13.6,73,75,10.9,10.3,102,97,15.3,13.3,12,24,1.8,3.5,0,32,0,4.8,176,138,26.3,17.8,492,198,73.7,6.6,12,40,1.8,5.9,,,,,0.69097002030792,0.00904601971135127
389,30455,No,Coastal Regional Commission,3390,ZCTA,ZCTA5 30455,375,95,16,33,4.3,8.7,54,31,14.4,7.5,161,48,42.9,6.8,58,26,15.5,5.6,20,17,5.3,4.5,25,16,6.7,3.9,41,35,10.9,9,70,46,18.7,11.2,305,69,81.3,27.6,66,39,17.6,9.3,,,,,0.734369160156214,0.0110777406620678
390,30456,No,Central Savannah River Area,3391,ZCTA,ZCTA5 30456,1400,275,138,90,9.9,6.1,180,71,12.9,4.4,536,160,38.3,8.6,322,106,23,6.1,79,55,5.6,3.8,84,40,6,2.6,61,39,4.4,2.7,318,115,22.7,6.9,1082,207,77.3,21.2,145,56,10.4,3.5,,,,,1.18030121476227,0.020293325967096
391,30457,No,Heart of Georgia Altamaha,3392,ZCTA,ZCTA5 30457,4149,251,359,122,8.7,2.9,624,157,15,3.7,1494,241,36,5.4,802,167,19.3,3.9,225,93,5.4,2.2,417,112,10.1,2.6,228,92,5.5,2.2,983,199,23.7,4.6,3166,340,76.3,6.8,645,145,15.5,3.4,,,,,2.00624180004124,0.0445701239665904
392,30458,No,Coastal Regional Commission,3393,ZCTA,ZCTA5 30458,21044,709,994,234,4.7,1.1,1768,349,8.4,1.6,4577,465,21.7,2.1,5209,547,24.8,2.5,1683,356,8,1.7,3831,369,18.2,1.6,2982,379,14.2,1.7,2762,420,13.1,1.9,18282,960,86.9,3.5,6813,529,32.4,2.3,,,,,1.41488266478657,0.0374552157025532
393,30460,No,Coastal Regional Commission,3394,ZCTA,ZCTA5 30460,43,60,0,37,0,85.5,0,37,0,85.5,28,57,65.1,98.1,8,27,18.6,57.3,7,20,16.3,40.2,0,18,0,42.8,0,32,0,74.1,0,52,0,120.9,43,76,100,108.7,0,37,0,85.5,,,,,0.00856935411412912,4.57525615090829e-06
394,30461,No,Coastal Regional Commission,3395,ZCTA,ZCTA5 30461,9341,561,273,113,2.9,1.2,626,161,6.7,1.7,2467,341,26.4,3.3,2168,330,23.2,3.2,754,202,8.1,2.1,1474,262,15.8,2.6,1579,279,16.9,2.8,899,197,9.6,2,8442,642,90.4,4.2,3053,383,32.7,3.6,,,,,1.53436323629489,0.041132195328166
395,30464,No,Heart of Georgia Altamaha,3396,ZCTA,ZCTA5 30464,28,25,0,37,0,131.3,7,33,25,117.3,9,10,32.1,20.3,8,22,28.6,74.6,0,18,0,65.7,4,14,14.3,49.5,0,32,0,113.7,7,50,25,176.1,21,46,75,151.1,4,35,14.3,124,,,,,0.0605801238027807,0.000208302109111506
396,30467,No,Coastal Regional Commission,3397,ZCTA,ZCTA5 30467,8408,210,541,132,6.4,1.6,909,157,10.8,1.9,3370,288,40.1,3.3,1789,232,21.3,2.7,495,122,5.9,1.4,858,157,10.2,1.9,446,113,5.3,1.3,1450,205,17.2,2.4,6958,435,82.8,4.7,1304,194,15.5,2.3,,,,,2.53665524609563,0.130805206860485
397,30470,No,Heart of Georgia Altamaha,3398,ZCTA,ZCTA5 30470,236,88,0,37,0,15.6,23,29,9.7,11.7,67,29,28.4,6.1,65,38,27.5,12.2,33,32,14,12.5,24,25,10.2,9.9,24,36,10.2,14.8,23,47,9.7,19.5,213,72,90.3,45.5,48,44,20.3,17,,,,,0.918412692681575,0.00729044235354703
398,30471,No,CRC / HOGA,3399,ZCTA,ZCTA5 30471,3695,373,273,82,7.4,2.1,545,126,14.7,3.1,1528,197,41.4,3.3,641,147,17.3,3.6,280,108,7.6,2.8,280,106,7.6,2.8,148,83,4,2.2,818,151,22.1,3.4,2877,300,77.9,2.1,428,135,11.6,3.5,,,,,2.003942645072,0.0368515536344093
399,30473,No,Heart of Georgia Altamaha,3400,ZCTA,ZCTA5 30473,1656,219,167,91,10.1,5.3,316,103,19.1,5.7,644,115,38.9,4.6,302,86,18.2,4.6,72,39,4.3,2.3,115,49,6.9,2.8,40,28,2.4,1.6,483,137,29.2,7.4,1173,159,70.8,2,155,56,9.4,3.2,,,,,1.08222554441921,0.021287933958656
400,30474,No,Heart of Georgia Altamaha,3401,ZCTA,ZCTA5 30474,11185,491,847,269,7.6,2.4,1146,276,10.2,2.4,4288,479,38.3,3.9,2064,298,18.5,2.5,714,171,6.4,1.5,1231,271,11,2.4,895,193,8,1.7,1993,386,17.8,3.4,9192,677,82.2,4.9,2126,333,19,2.9,,,,,1.74268311544164,0.0349863790252967
401,30475,No,Heart of Georgia Altamaha,3402,ZCTA,ZCTA5 30475,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.0319463698927819,2.30617395685921e-05
402,30573,No,Georgia Mountains,3458,ZCTA,ZCTA5 30573,164,115,1,34,0.6,21,5,36,3,21.6,1,13,0.6,8,2,23,1.2,13.8,8,12,4.9,6.7,46,66,28,35.3,101,91,61.6,34.4,6,50,3.7,30.1,158,116,96.3,20.8,147,112,89.6,27.1,,,,,0.343159307830116,0.00124482813815555
403,30477,No,Central Savannah River Area,3403,ZCTA,ZCTA5 30477,1972,263,264,96,13.4,4.5,326,89,16.5,4,854,179,43.3,7,291,90,14.8,4.1,107,51,5.4,2.5,94,49,4.8,2.4,36,32,1.8,1.6,590,131,29.9,5.3,1382,215,70.1,5.6,130,59,6.6,2.9,,,,,0.922234076674481,0.0178003539411064
404,30575,Partial,GM / NE,3459,ZCTA,ZCTA5 30575,852,272,272,144,31.9,13.5,42,35,4.9,3.7,267,105,31.3,7.1,170,82,20,7.2,9,13,1.1,1.4,84,64,9.9,6.8,8,27,0.9,3.2,314,148,36.9,12.8,538,150,63.1,26.8,92,69,10.8,7.4,,,,,0.398441191246173,0.00293194584175917
405,30501,Yes,Georgia Mountains,3404,ZCTA,ZCTA5 30501,17468,969,3363,494,19.3,2.6,2093,348,12,1.9,4729,518,27.1,2.6,3110,408,17.8,2.1,795,219,4.6,1.2,2043,357,11.7,1.9,1335,261,7.6,1.4,5456,604,31.2,3,12012,824,68.8,2.8,3378,443,19.3,2.3,,,,,0.548598398184354,0.00621942226509609
406,30576,No,Georgia Mountains,3460,ZCTA,ZCTA5 30576,1876,242,41,39,2.2,2,296,111,15.8,5.6,630,134,33.6,5.7,335,82,17.9,3.7,142,62,7.6,3.1,268,87,14.3,4.3,164,70,8.7,3.5,337,118,18,5.8,1539,202,82,2,432,112,23,5.2,,,,,0.835114707147529,0.00989826579501458
407,30504,Yes,Georgia Mountains,3405,ZCTA,ZCTA5 30504,15357,738,3083,496,20.1,3.1,1949,365,12.7,2.3,4417,493,28.8,2.9,2561,358,16.7,2.2,877,208,5.7,1.3,1671,286,10.9,1.8,799,184,5.2,1.2,5032,616,32.8,3.7,10325,728,67.2,3.5,2470,340,16.1,2.1,,,,,0.666100072441853,0.00547101614868039
408,30577,No,Georgia Mountains,3461,ZCTA,ZCTA5 30577,14858,592,915,292,6.2,2,1899,380,12.8,2.5,5164,504,34.8,3.1,2738,417,18.4,2.7,962,276,6.5,1.8,1740,339,11.7,2.2,1440,267,9.7,1.8,2814,479,18.9,3.1,12044,831,81.1,4.6,3180,431,21.4,2.8,,,,,1.90782177102245,0.042110589936746
409,30506,Yes,Georgia Mountains,3406,ZCTA,ZCTA5 30506,30144,844,1461,340,4.8,1.1,2151,380,7.1,1.2,7480,560,24.8,1.7,6963,624,23.1,2,2239,257,7.4,0.8,6281,509,20.8,1.6,3569,363,11.8,1.2,3612,510,12,1.7,26532,1077,88,2.6,9850,625,32.7,1.9,,,,,1.50622124438371,0.0315410890641675
410,30581,No,Georgia Mountains,3462,ZCTA,ZCTA5 30581,19,30,0,37,0,193.5,0,37,0,193.5,19,21,100,193.5,0,26,0,136.8,0,18,0,96.8,0,18,0,96.8,0,32,0,167.6,0,52,0,273.7,19,53,100,230.5,0,37,0,193.5,,,,,0.0446202149990354,5.11786337644783e-05
411,30507,Yes,Georgia Mountains,3407,ZCTA,ZCTA5 30507,18564,920,3539,449,19.1,2.2,3423,426,18.4,2.1,5729,516,30.9,2.3,2682,341,14.4,1.7,1005,221,5.4,1.2,1377,207,7.4,1.1,809,185,4.4,1,6962,619,37.5,2.8,11602,713,62.5,2.3,2186,278,11.8,1.4,,,,,0.851212306252727,0.0180860970288016
412,30582,No,Georgia Mountains,3463,ZCTA,ZCTA5 30582,3163,302,152,74,4.8,2.3,221,87,7,2.7,1028,214,32.5,6,752,177,23.8,5.1,275,78,8.7,2.3,364,94,11.5,2.8,371,109,11.7,3.3,373,114,11.8,3.4,2790,323,88.2,5.8,735,144,23.2,4,,,,,0.642482297912938,0.0127956318120954
413,30510,Partial,Georgia Mountains,3408,ZCTA,ZCTA5 30510,5882,470,761,176,12.9,2.8,842,180,14.3,2.8,2073,260,35.2,3.4,1210,166,20.6,2.3,379,127,6.4,2.1,342,95,5.8,1.5,275,94,4.7,1.5,1603,252,27.3,3.7,4279,359,72.7,1.9,617,133,10.5,2.1,,,,,0.805783812014184,0.011426959761255
414,30601,No,Northeast Georgia,3464,ZCTA,ZCTA5 30601,12437,586,963,253,7.7,2,1356,247,10.9,1.9,3923,444,31.5,3.2,2653,422,21.3,3.2,677,221,5.4,1.8,1735,311,14,2.4,1130,214,9.1,1.7,2319,354,18.6,2.7,10118,753,81.4,4.7,2865,378,23,2.8,,,,,0.59356357230329,0.00604376199345342
415,30511,No,Georgia Mountains,3409,ZCTA,ZCTA5 30511,2398,291,303,115,12.6,4.5,283,110,11.8,4.3,951,175,39.7,5.5,411,104,17.1,3.8,232,101,9.7,4,116,54,4.8,2.2,102,60,4.3,2.5,586,159,24.4,5.9,1812,241,75.6,4.2,218,81,9.1,3.2,,,,,0.601527280127608,0.00762949632322733
416,30602,No,Northeast Georgia,3465,ZCTA,ZCTA5 30602,39,35,0,37,0,94.3,0,37,0,94.3,15,34,38.5,79,15,38,38.5,89.8,0,18,0,47.1,9,21,23.1,50.8,0,32,0,81.6,0,52,0,133.3,39,66,100,143.3,9,38,23.1,96.2,,,,,0.138393005735584,0.000183306650715988
417,30512,No,GM / NW,3410,ZCTA,ZCTA5 30512,16006,448,452,177,2.8,1.1,1416,291,8.8,1.8,5559,526,34.7,3.1,3532,437,22.1,2.7,1548,336,9.7,2.1,1939,347,12.1,2.1,1560,303,9.7,1.9,1868,341,11.7,2.1,14138,891,88.3,5,3499,461,21.9,2.8,,,,,1.46677314343701,0.0584568573271713
418,30605,No,Northeast Georgia,3466,ZCTA,ZCTA5 30605,20769,836,567,186,2.7,0.9,1135,233,5.5,1.1,3533,464,17,2.1,3347,408,16.1,1.9,1452,291,7,1.4,4790,422,23.1,1.8,5945,493,28.6,2.1,1702,298,8.2,1.4,19067,942,91.8,2.6,10735,649,51.7,2.3,,,,,0.711271992555673,0.00942038039697669
419,30513,No,Northwest Georgia,3411,ZCTA,ZCTA5 30513,8759,526,489,145,5.6,1.6,598,165,6.8,1.8,3307,366,37.8,3.5,2100,311,24,3.2,712,204,8.1,2.3,984,217,11.2,2.4,569,152,6.5,1.7,1087,220,12.4,2.4,7672,585,87.6,4.1,1553,265,17.7,2.8,,,,,2.67016635482846,0.0385304943665539
420,30606,No,Northeast Georgia,3467,ZCTA,ZCTA5 30606,26963,900,863,263,3.2,1,1840,363,6.8,1.3,4550,501,16.9,1.8,4764,520,17.7,1.8,1841,347,6.8,1.3,6472,522,24,1.8,6633,536,24.6,1.8,2703,449,10,1.6,24260,1096,90,2.7,13105,748,48.6,2.2,,,,,0.725485985577773,0.00780114335033466
421,30516,No,Georgia Mountains,3412,ZCTA,ZCTA5 30516,1294,348,83,51,6.4,3.5,345,178,26.7,11.8,492,143,38,4.2,180,70,13.9,3.9,58,33,4.5,2.3,65,45,5,3.2,71,50,5.5,3.5,428,185,33.1,11.2,866,176,66.9,22.5,136,67,10.5,4.3,,,,,0.428596989432394,0.00535053072809706
422,30607,No,Northeast Georgia,3468,ZCTA,ZCTA5 30607,6976,645,891,281,12.8,3.9,978,283,14,3.8,1939,335,27.8,4.1,1087,239,15.6,3.1,631,179,9,2.4,956,211,13.7,2.7,494,143,7.1,1.9,1869,399,26.8,5.2,5107,516,73.2,3,1450,255,20.8,3.1,,,,,0.730138053807939,0.00910389603832897
423,30517,Partial,ARC / GM / NE,3413,ZCTA,ZCTA5 30517,8899,559,321,151,3.6,1.7,819,251,9.2,2.8,2174,282,24.4,2.8,1662,252,18.7,2.6,736,169,8.3,1.8,1996,265,22.4,2.6,1191,222,13.4,2.4,1140,293,12.8,3.2,7759,540,87.2,2.6,3187,346,35.8,3.2,,,,,0.577352982364192,0.00714346070038243
424,30609,No,Northeast Georgia,3469,ZCTA,ZCTA5 30609,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.00999521167641778,5.90347667244378e-06
425,30619,No,Northeast Georgia,3470,ZCTA,ZCTA5 30619,909,244,103,122,11.3,13,97,59,10.7,5.8,194,59,21.3,3.1,222,90,24.4,7.5,102,74,11.2,7.5,68,39,7.5,3.7,123,57,13.5,5.1,200,135,22,13.7,709,148,78,26.5,191,68,21,5,,,,,0.674493636927929,0.00681144495385142
426,30620,Yes,ARC / NE,3471,ZCTA,ZCTA5 30620,8382,711,384,125,4.6,1.4,852,223,10.2,2.5,2691,357,32.1,3.3,2233,320,26.6,3.1,775,190,9.2,2.1,818,171,9.8,1.9,629,184,7.5,2.1,1236,256,14.7,2.8,7146,574,85.3,10,1447,251,17.3,2.6,,,,,0.668521734653764,0.00622942214949041
427,30621,No,Northeast Georgia,3472,ZCTA,ZCTA5 30621,3790,305,63,47,1.7,1.2,245,97,6.5,2.5,842,158,22.2,3.8,727,146,19.2,3.5,336,78,8.9,1.9,731,122,19.3,2.8,846,139,22.3,3.2,308,108,8.1,2.8,3482,294,91.9,2.4,1577,185,41.6,3.6,,,,,0.92861752379115,0.0124696399412837
428,30622,Partial,Northeast Georgia,3473,ZCTA,ZCTA5 30622,7757,689,288,132,3.7,1.7,629,239,8.1,3,1929,289,24.9,3,1448,267,18.7,3,463,138,6,1.7,1649,265,21.3,2.8,1351,247,17.4,2.8,917,273,11.8,3.4,6840,552,88.2,10.6,3000,362,38.7,3.2,,,,,1.10020146704536,0.0105317841806933
429,30623,No,Northeast Georgia,3474,ZCTA,ZCTA5 30623,125,91,0,37,0,29.4,27,38,21.6,26.2,49,50,39.2,28.5,12,18,9.6,12.6,1,13,0.8,10.5,7,16,5.6,12.5,29,44,23.2,31.2,27,53,21.6,39.4,98,73,78.4,10.9,36,47,28.8,31.5,,,,,0.134180351110027,0.000545674775116151
430,30624,No,GM / NE,3475,ZCTA,ZCTA5 30624,2212,314,159,88,7.2,3.9,502,115,22.7,4.1,1071,221,48.4,7.2,213,66,9.6,2.7,56,35,2.5,1.5,153,59,6.9,2.5,58,48,2.6,2.1,661,145,29.9,5,1551,245,70.1,4.9,211,76,9.5,3.1,,,,,0.819495416371357,0.0110114367424452
431,31312,No,Coastal Regional Commission,3668,ZCTA,ZCTA5 31312,12024,577,434,187,3.6,1.5,882,193,7.3,1.6,4560,422,37.9,3,3174,398,26.4,3.1,955,216,7.9,1.8,1399,235,11.6,1.9,620,166,5.2,1.4,1316,269,10.9,2.2,10708,682,89.1,3.7,2019,288,16.8,2.3,,,,,1.60846024080913,0.0397893916312222
432,30625,No,MG / NE,3476,ZCTA,ZCTA5 30625,1702,227,61,63,3.6,3.6,116,58,6.8,3.3,619,137,36.4,6.4,337,121,19.8,6.6,180,72,10.6,4,251,90,14.7,4.9,138,61,8.1,3.4,177,86,10.4,4.8,1525,225,89.6,5.6,389,109,22.9,5.6,,,,,0.67988607641149,0.0122397031962117
433,30627,No,Northeast Georgia,3477,ZCTA,ZCTA5 30627,1835,239,152,65,8.3,3.4,258,96,14.1,4.9,749,135,40.8,5.1,244,79,13.3,4,110,50,6,2.6,186,75,10.1,3.9,136,50,7.4,2.6,410,116,22.3,5.6,1425,188,77.7,1.6,322,90,17.5,4.4,,,,,1.52436225728465,0.0317509967431684
434,30628,No,Northeast Georgia,3478,ZCTA,ZCTA5 30628,4854,472,344,155,7.1,3.1,533,163,11,3.2,1450,267,29.9,4.7,925,199,19.1,3.7,669,249,13.8,5,542,162,11.2,3.2,391,141,8.1,2.8,877,224,18.1,4.3,3977,469,81.9,5.5,933,215,19.2,4,,,,,0.85650511239654,0.0122951656312566
435,30629,No,Northeast Georgia,3479,ZCTA,ZCTA5 30629,3219,281,241,96,7.5,2.9,438,141,13.6,4.2,1190,192,37,5,684,141,21.2,4,158,59,4.9,1.8,276,77,8.6,2.3,232,68,7.2,2,679,171,21.1,5,2540,266,78.9,4.6,508,103,15.8,2.9,,,,,0.995390239072533,0.019171372843337
436,31313,No,Coastal Regional Commission,3669,ZCTA,ZCTA5 31313,24159,616,678,159,2.8,0.7,1305,253,5.4,1,7112,498,29.4,1.9,7666,557,31.7,2.2,2721,344,11.3,1.4,3200,390,13.2,1.6,1477,240,6.1,1,1983,299,8.2,1.2,22176,942,91.8,3.1,4677,458,19.4,1.8,,,,,0.931559300373954,0.0166174746034983
